,Unnamed: 0,Reviewer Details, Effectiveness Rating, Ease_of_Use Rating, Satisfaction Rating, Comment,Age,Gender
0,0, tropicpharma| 35-44 Male  on Treatment for 10 years or more (Caregiver) ,5,4,5,Mandrax(Quaalude)|Nembutal|Klonopin Ativan Dilaudid AMBIEN Oxycontin Percocet Roxicodone ETC ||contact us with your order ||Call/text/Whatsapp us : +1-(727) 201-1822 |Send Email:---- tropicpharma3 @gmail.com--------- |WEBSITE....................https://tropicpharma ceuticals.site123.me |  |I will supply you the best quality of the following medication and more: ||Medical Marijuana (Sinaloa Kush| Strawberry Kush| OG Kush| Arizonan western light purp| Afghani #1| Northern Lights etc) |Ketamine vials (FOR DEPRESSION) |Xanx: Pfizer Long Bars |Fentalyn patches |Nembutal (Pills| Liquid & Powder) |Klonopin |Ativan |Dilaudid |AMBIEN |Oxycontin |Percocert |Roxicodone |Quaaludes - Methaquallone pills ||KETAMINE CRYSTALS| |KETAMINE VIALS| |ACTAVIS POMETHAZINE COUGH SYRUP WITH CODIENE|| ||OXYCOTIN| |ADDERALL| |ACTAVIS| |OPANA| |XANAX|NORCO| |DILUADID| |MATHADONE| |PERCOCET| |RITALIN | |HYDROCODONE| |SUBOXONE| |SUBUTEX| |IBRPOHEN | |ADVIL PM| |VIAGRA GOLD | |LO LOESTRIN FE| |EPHEDRINE| |||FENTANYL ( brand name: duragesic 5-12 12.5 mcg/hr patches box)| |DEMEROL ( Meperidine HCL) caps 8| |AMBIEN 10MG| |MORPHINE 30MG| |VICODIN 5MG| |VICODIN ES 7.5MG| |EPHEDRINE 30MG| |CELEBREX 100mg| |CODEINE 15mg| and |many more not mentioned ||My services are available for both clients with prescription and those without prescription |,35-44,Male
1,1, tropicpharma| 35-44 Male  on Treatment for 2 to less than 5 years (Caregiver) ,5,5,5,DRUGS ONLINE PAINKILLERS| ROXICODONE| NORCO 10/325| KETAMINE| OXYCONTIN| XANAX 2MG BARS| DILUADID| METHADONE ORDER Roxicodone 30mg| Oxycontin 80mg OC| Methadone 10mg| Percocet 10/325mg| Adderall30mg| Diluadid 8mg| Medical Marjuana| Watson 540 Cyanide Pills (Suicide Pill Or Death Pill) Potassium Cyanide|LSD99_8_Sermorelins_Sodiums_Cyanide_Pills _and_Powder|||Send Email:---- tropicpharma3 @gmail.com--------- |WEBSITE....................https://tropicpharma ceuticals.site123.me ||Call/text/Whatsapp us : +1-(727) 201-1822 |||SHIPPING:|Stealth Package|- Vacuum sealed thick plastic|- Mylar bags|- Anti dog spray|- Anti smell spray|- Return address.|- We only use regular post. If you want Express Delivery with tracking| PM us and we talk about it....||Shipping time varies for each country.|But all deliveries are done within 3 to 7 business days.|Delivery guaranteed!!||#Subutex 8mg |#Suboxone 8mg|#Ritalin 40mg|#Adderall 30mg|#Mandrax (Quaalude) 300mg|#Tramadol 100mg|#Percocet 10mg|#Oxynorm 20mg|#Vicodin 500mg|#Ecstasy (Blue Androids)|#Ketamine|#MDMA|#LSD|#Fentalyn patches|#Nembutal |#Klonopin|#Ativan|#KCN|#Seconal|#Dilaudid| #AMBIEN|#Oxycontin|#Percocet|#Roxicodone|#Val ium|#Adderall|#Norco|#Nembutal||||Our prices permit all the poor and needy to be able to meet up with their pharmaceutical needs without any Doctor's prescription and even without INSURANCE cover patients are able to freely reach out for all their pain medications| anxiety management medications and injections| ED pills and Cough Syrups.please send all your inquiries for all your health issues and pharmaceutical needs.||Send Email:---- tropicpharma3 @gmail.com--------- |WEBSITE.....https://tropicpharmaceuticals.site1 23.me ||Call/text/Whatsapp us : +1-(727) 201-1822,35-44,Male
3,3, reliabledrugstore22022| 25-34 Male  on Treatment for 1 to 6 months (Caregiver) ,3,4,5,Online shop where you get 100% authentic products from pharmacies. We have the following products in stock: pain medications| Anti Anxiety| Adhd/Add| Weight loss| Sleeping Aids| injections| ED pills and Cough Syrups and many other Pharmaceutical products at attractive prices. Email ([email protected])||Oxycodone| Roxicodone| Xanax 1 mg ksalols blues| Anesket Ketamina 1000 mg/10 mL| Flunitrazepam (rophynol) Methadone| Xanax 2 mg Bars| Oxycontin| percocet| MDMA| Meth| Adderall| Medical Marijuana Strains| Nembutal| Diluadid| Actavis etc||TEXT OR CALL US (325) 261-0302|VISIT HERE; https://www.allmedspharmacy.site123.,25-34,Male
5,5, Ned| 65-74 Male  on Treatment for 10 years or more (Patient) ,2,5,2,"I've been taking pain meds for 40 years due to a industrial accident in 1978. I didn't start the methadone until 25 years ago| they started me on 40mg a day worked very good. After a auto accident| A different Doctor moved me up to 120mg because of a neck injury for around 6 years then decided to start taking me down to 40 mg a day. I was getting by with that and a breakthrough med| but wasn't able to get out and enjoy the things I did when on the higher dose. The middle of this month ""Aug"" he tells me he's not going to give me anymore methadone or breakthrough meds because of a new law that was passed a few months back. Now I am having restless legs| pain has came back| no sleep for 4 nights| so I'm in a heck of a mess now. Tried to get in a pain management| they said he should have referred me. Don't know what to do next. It gets worse every day. If you have a doctor| that will offer it| and you and need it| it works very well.",65-74,Male
7,7, Sunnygrl2015| 35-44 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I have had much pain relief from using methadone. I just do not like going to a Methadone Clinic on a daily basis to get my daily dose. I can't get take homes because I am a pot smoker| which also helps with the pain as well.,35-44,Female
8,8, awakeandaware| 35-44 Female  on Treatment for 10 years or more (Patient) ,1,1,1,ASCEND LABS ASC 116 (generic) methadone 10mg are awful! been on methadone 10 plus years and now forced to take generic ascend labs never felt so bad! why is ascend labs allowed to produce such a crappy form of methadone with LOADS of side effects!!!! NO good! been so successful in treatment until NOW... please take these off the market they will help with opiate abuse prevention ..,35-44,Female
10,10, SCGiants| 35-44 Male  on Treatment for 5 to less than 10 years (Patient) ,4,5,3,I have chronic back pain from numerous causes. I have been going to pain mgmnt for a decade now and started off w/ NSAIDS an worked up from there... hydrocodone| oxy... time released morphine pills| then Fentanyl patches (which almost killed me when a 3 day patch was released into me within an hour as my work was over 100 degrees and I was pouring sweat (heat released... as I later learned!). I didn't like living like a zombie tho. Dr. gave me Methadone to try and it was like a miracle drug at first. Took away all the pain except break thru pain and after a week I was used to it and felt no high or anything like that. Dr originally said it was safe even at high amounts. I was up to 120 mg/day (12 -10mg pills/day) 7 years later I HATE it as I believe it is killing me. I have lost all drive 100%| I get shaky from doing nothing at all|  ambition is all gone and I was highly ambitious and a hard worker... I cannot work anymore (I am 44 yrs old)| constantly fatigued| exhausted| pain is now all back and I am being weaned to half the dose to get to 60mg a day as they learned that anything over that greatly increases the chance for serious heart problems! My life is hell. My free testosterone level dropped to 40... should be 400... (read up on low testosterone levels). They gave me adderall to counter the constant exhaustion| which screwed w/ sleep and now I take ambien to sleep! It is a one way ticket to hell this stuff and I wish I never started it. It is the WORST possible drug to get addicted to as it is the worst to come off of and it has taken me over a year just to drop 40mg/day and every day is pure hell to live. DO NOT start this drug! I cannot stress enough how bad it is in the long run. I also believe it has screwed with my pineal gland and caused me to get Fibromyalgia which I never had any of the symptoms before. I honestly feel as if I am dying inside. I don't even have the energy to file for Disability and even showering daily seems like a huge undertaking.,35-44,Male
12,12, Lady59 chimo6| 55-64 Female  on Treatment for 5 to less than 10 years (Patient) ,3,4,3,Was on this for about 6 yrs.| wasn't helping even with increased dosage. Dr decided to change my pain meds. I weaned off the methadone slowly & started noticing my legs no longer felt tight ( spasms| spasticity ) was very surprised that was the reason my legs hurt so all the time.,55-64,Female
14,14, Pain is LAME| 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) ,5,5,5,I think Methadone is by far the best medication for chronic pain.  I was suicidal before being prescribed Methadone| and now the pain is much improved.  Saved my life.  I just hope people realize that not everyone abuses their pain medication.,45-54,Male
16,16, catlover123| 55-64 Male  on Treatment for 5 to less than 10 years (Patient) ,4,5,4,Methadone is an excellent medication for deep set acing pain and| in my experience| only somewhat effective for sharp pain. It is easy to use and does not fog up the mind as much as other strong schedule 2 narcotics do. I recommend a chronic pain patient to give it a try if you are unsatisfied with your current pain medications.,55-64,Male
